hazard-category,product-category
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
allergens,ices and desserts
foreign bodies,"meat, egg and dairy products"
foreign bodies,cereals and bakery products
biological,"meat, egg and dairy products"
packaging defect,"soups, broths, sauces and condiments"
foreign bodies,"meat, egg and dairy products"
biological,seafood
foreign bodies,"meat, egg and dairy products"
chemical,alcoholic beverages
chemical,seafood
chemical,"soups, broths, sauces and condiments"
foreign bodies,prepared dishes and snacks
chemical,fats and oils
allergens,prepared dishes and snacks
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
chemical,non-alcoholic beverages
biological,"meat, egg and dairy products"
fraud,cereals and bakery products
foreign bodies,prepared dishes and snacks
allergens,cereals and bakery products
fraud,"soups, broths, sauces and condiments"
foreign bodies,"soups, broths, sauces and condiments"
allergens,cereals and bakery products
biological,"meat, egg and dairy products"
allergens,prepared dishes and snacks
allergens,cereals and bakery products
biological,ices and desserts
biological,"meat, egg and dairy products"
allergens,cereals and bakery products
chemical,non-alcoholic beverages
fraud,"meat, egg and dairy products"
foreign bodies,"meat, egg and dairy products"
foreign bodies,"cocoa and cocoa preparations, coffee and tea"
foreign bodies,"meat, egg and dairy products"
biological,seafood
fraud,prepared dishes and snacks
fraud,prepared dishes and snacks
foreign bodies,non-alcoholic beverages
biological,prepared dishes and snacks
foreign bodies,"meat, egg and dairy products"
foreign bodies,prepared dishes and snacks
allergens,prepared dishes and snacks
biological,"meat, egg and dairy products"
fraud,prepared dishes and snacks
allergens,ices and desserts
foreign bodies,fruits and vegetables
foreign bodies,fruits and vegetables
foreign bodies,cereals and bakery products
biological,"meat, egg and dairy products"
foreign bodies,cereals and bakery products
foreign bodies,"soups, broths, sauces and condiments"
fraud,"soups, broths, sauces and condiments"
fraud,"cocoa and cocoa preparations, coffee and tea"
biological,"meat, egg and dairy products"
allergens,prepared dishes and snacks
foreign bodies,"cocoa and cocoa preparations, coffee and tea"
foreign bodies,cereals and bakery products
biological,seafood
allergens,cereals and bakery products
biological,"nuts, nut products and seeds"
biological,ices and desserts
allergens,ices and desserts
biological,ices and desserts
biological,"nuts, nut products and seeds"
biological,fruits and vegetables
foreign bodies,"soups, broths, sauces and condiments"
fraud,"nuts, nut products and seeds"
other hazard,"meat, egg and dairy products"
allergens,ices and desserts
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
biological,fruits and vegetables
fraud,cereals and bakery products
fraud,"meat, egg and dairy products"
biological,fruits and vegetables
other hazard,confectionery
foreign bodies,prepared dishes and snacks
