hazard-category,product-category
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
allergens,ices and desserts
foreign bodies,"meat, egg and dairy products"
foreign bodies,prepared dishes and snacks
biological,"meat, egg and dairy products"
packaging defect,herbs and spices
foreign bodies,"meat, egg and dairy products"
biological,prepared dishes and snacks
packaging defect,"meat, egg and dairy products"
organoleptic aspects,herbs and spices
packaging defect,"soups, broths, sauces and condiments"
chemical,"soups, broths, sauces and condiments"
foreign bodies,prepared dishes and snacks
chemical,fats and oils
allergens,prepared dishes and snacks
biological,"meat, egg and dairy products"
biological,prepared dishes and snacks
organoleptic aspects,non-alcoholic beverages
biological,prepared dishes and snacks
allergens,"nuts, nut products and seeds"
foreign bodies,prepared dishes and snacks
allergens,cereals and bakery products
allergens,"soups, broths, sauces and condiments"
foreign bodies,"soups, broths, sauces and condiments"
allergens,"nuts, nut products and seeds"
biological,"meat, egg and dairy products"
allergens,prepared dishes and snacks
allergens,cereals and bakery products
allergens,ices and desserts
biological,"meat, egg and dairy products"
allergens,cereals and bakery products
chemical,non-alcoholic beverages
allergens,prepared dishes and snacks
foreign bodies,"meat, egg and dairy products"
foreign bodies,confectionery
foreign bodies,"meat, egg and dairy products"
biological,seafood
allergens,"meat, egg and dairy products"
allergens,herbs and spices
foreign bodies,ices and desserts
biological,prepared dishes and snacks
fraud,prepared dishes and snacks
foreign bodies,prepared dishes and snacks
allergens,prepared dishes and snacks
biological,prepared dishes and snacks
fraud,prepared dishes and snacks
allergens,herbs and spices
foreign bodies,fruits and vegetables
foreign bodies,fruits and vegetables
foreign bodies,cereals and bakery products
foreign bodies,"meat, egg and dairy products"
foreign bodies,cereals and bakery products
foreign bodies,"soups, broths, sauces and condiments"
allergens,"soups, broths, sauces and condiments"
allergens,"nuts, nut products and seeds"
biological,"meat, egg and dairy products"
allergens,prepared dishes and snacks
foreign bodies,"cocoa and cocoa preparations, coffee and tea"
foreign bodies,cereals and bakery products
biological,"meat, egg and dairy products"
allergens,prepared dishes and snacks
biological,"nuts, nut products and seeds"
biological,ices and desserts
allergens,ices and desserts
biological,ices and desserts
biological,"nuts, nut products and seeds"
allergens,prepared dishes and snacks
foreign bodies,"soups, broths, sauces and condiments"
fraud,"nuts, nut products and seeds"
other hazard,"meat, egg and dairy products"
allergens,ices and desserts
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
biological,fruits and vegetables
allergens,confectionery
allergens,"meat, egg and dairy products"
biological,fruits and vegetables
other hazard,confectionery
