hazard-category,product-category
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
foreign bodies,"meat, egg and dairy products"
allergens,"nuts, nut products and seeds"
biological,"meat, egg and dairy products"
chemical,cereals and bakery products
fraud,confectionery
foreign bodies,seafood
biological,prepared dishes and snacks
biological,seafood
foreign bodies,"meat, egg and dairy products"
packaging defect,alcoholic beverages
foreign bodies,seafood
chemical,"soups, broths, sauces and condiments"
allergens,cereals and bakery products
chemical,fats and oils
allergens,cereals and bakery products
biological,"meat, egg and dairy products"
foreign bodies,cereals and bakery products
chemical,non-alcoholic beverages
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
other hazard,prepared dishes and snacks
foreign bodies,other food product / mixed
foreign bodies,"soups, broths, sauces and condiments"
foreign bodies,prepared dishes and snacks
allergens,other food product / mixed
biological,"meat, egg and dairy products"
allergens,"meat, egg and dairy products"
allergens,cereals and bakery products
allergens,ices and desserts
biological,"meat, egg and dairy products"
allergens,cereals and bakery products
organoleptic aspects,non-alcoholic beverages
fraud,"meat, egg and dairy products"
fraud,"meat, egg and dairy products"
foreign bodies,cereals and bakery products
foreign bodies,"meat, egg and dairy products"
biological,seafood
fraud,"meat, egg and dairy products"
packaging defect,"nuts, nut products and seeds"
foreign bodies,"meat, egg and dairy products"
biological,seafood
fraud,"meat, egg and dairy products"
biological,herbs and spices
foreign bodies,"meat, egg and dairy products"
biological,prepared dishes and snacks
chemical,cereals and bakery products
biological,ices and desserts
biological,fruits and vegetables
foreign bodies,fruits and vegetables
biological,"cocoa and cocoa preparations, coffee and tea"
allergens,"meat, egg and dairy products"
food additives and flavourings,prepared dishes and snacks
biological,prepared dishes and snacks
foreign bodies,"soups, broths, sauces and condiments"
allergens,cereals and bakery products
biological,"meat, egg and dairy products"
allergens,"meat, egg and dairy products"
foreign bodies,confectionery
biological,cereals and bakery products
foreign bodies,"meat, egg and dairy products"
allergens,prepared dishes and snacks
biological,"cocoa and cocoa preparations, coffee and tea"
biological,ices and desserts
biological,non-alcoholic beverages
biological,ices and desserts
biological,"nuts, nut products and seeds"
biological,cereals and bakery products
biological,"soups, broths, sauces and condiments"
fraud,"nuts, nut products and seeds"
chemical,"meat, egg and dairy products"
biological,ices and desserts
biological,"meat, egg and dairy products"
biological,"meat, egg and dairy products"
biological,fruits and vegetables
allergens,cereals and bakery products
allergens,"meat, egg and dairy products"
biological,fruits and vegetables
packaging defect,confectionery
foreign bodies,cereals and bakery products
biological,fruits and vegetables
allergens,cereals and bakery products
biological,prepared dishes and snacks
