hazard,product
listeria monocytogenes,smoked sausage
escherichia coli,chicken breast
improper conditions,ready to eat - cook meals
peanuts and products thereof,ice cream
plastic fragment,chicken breast
plastic fragment,ready to eat - cook meals
listeria monocytogenes,other dairy products
glass fragment,basil pesto sauce
metal fragment,ready to eat - cook meals
listeria monocytogenes,ready to eat - cook meals
allergens,prawns
patulin,cakes
other,sauce
other,soy sauce
labelling/misdescription,mustard sauce
fish and products thereof,olive oil
soybeans and products thereof,ready to eat - cook meals
moulds,cheese
moulds,ready to eat - cook meals
coliforms,carbonated beverage
listeria monocytogenes,cheese
labelling/misdescription,biscuits
metal fragment,ready to eat - cook meals
milk and products thereof,muesli
allergens,ready to eat - cook meals
glass fragment,ready to eat - cook meals
eggs and products thereof,ready to eat - cook meals
listeria monocytogenes,beef
milk and products thereof,ready to eat - cook meals
peanuts and products thereof,muesli
listeria monocytogenes,ice cream
listeria monocytogenes,chicken
milk and products thereof,salad dressing
labelling/misdescription,sauces
plastic fragment,ravioli
plastic fragment,poultry meat and poultry meat products
milk and products thereof,chocolate products
metal fragment,ground beef
labelling/misdescription,ready to eat - cook meals
peanuts and products thereof,ready to eat - cook meals
peanuts and products thereof,sesame paste
plastic fragment,nut mixture
other not classified biological hazards,ready to eat - cook meals
milk and products thereof,ravioli
plastic fragment,ravioli
crustaceans and products thereof,ready to eat - cook meals
listeria monocytogenes,other dairy products
peanuts and products thereof,mustard sauce
eggs and products thereof,ice cream
metal fragment,sesame
labelling/misdescription,tofu
glass fragment,cakes
plastic fragment,cheese
plastic fragment,cakes
plastic fragment,caramel bites
spoilage,mustard sauce
labelling/misdescription,milk chocolates
escherichia coli,cheese
milk and products thereof,ready to eat - cook meals
plastic fragment,cakes
metal fragment,ready to eat - cook meals
listeria monocytogenes,sausage
labelling/misdescription,ready to eat - cook meals
salmonella,ice cream
salmonella,ice cream
milk and products thereof,ice cream
salmonella,ice cream
salmonella,peanuts
milk and products thereof,sauces
plastic fragment,ready to eat - cook meals
labelling/misdescription,sesame
improper conditions,beef
peanuts and products thereof,ice cream
escherichia coli,ground beef
salmonella,eggs
salmonella,tahini
cereals containing gluten and products thereof,cookies
milk and products thereof,ready to eat - cook meals
salmonella,onions
other not classified,jellies
plastic fragment,spring rolls
listeria monocytogenes,salads
milk and products thereof,almond milk
milk and products thereof,other dairy products
listeria monocytogenes,ready to eat - cook meals
listeria monocytogenes,sandwiches
milk and products thereof,basil pesto sauce
peanuts and products thereof,coriander
escherichia coli,ground beef
listeria monocytogenes,wraps
salmonella,black pepper
milk and products thereof,chocolate bars
soybeans and products thereof,salami
moulds,sauce
milk and products thereof,pasta products
sulphur dioxide and sulphites,jam
plastic fragment,ice cream
salmonella,ground beef
listeria monocytogenes,cheese
milk and products thereof,Catfishes (freshwater)
salmonella,ice cream
listeria monocytogenes,sliced ham
listeria monocytogenes,prawns
listeria monocytogenes,prepared salads
undeclared constituent,pasta products
soybeans and products thereof,dried chilli peppers
cereals containing gluten and products thereof,confectionery
spoilage,cider
sulphur dioxide and sulphites,dried apricots
eggs and products thereof,chicken based products
plastic fragment,sauces
escherichia coli,salmon
soybeans and products thereof,chicken preparations
milk and products thereof,other not classified meat products
salmonella,thermal processed beef meat
walnut,cookies
milk and products thereof,dietary supplement
salmonella,pistachio nuts
salmonella,pistachio nuts
listeria monocytogenes,cheese
salmonella,peanuts
salmonella,peanuts
salmonella,peanuts
salmonella,cookies
salmonella,peanuts
soybeans and products thereof,biscuits
soybeans and products thereof,thermal processed pork meat
other,dietary supplement
undeclared constituent,pasta products
milk and products thereof,ice cream
mustard and products thereof,other fruit and vegetable juice products
salmonella,chicken
improper conditions,pork sausage
soybeans and products thereof,chicken based products
milk and products thereof,pasta products
milk and products thereof,sauce
milk and products thereof,mustard sauce
listeria monocytogenes,pâté
soybeans and products thereof,thermal processed beef meat
walnut,ice cream
toxin,alfalfa sprouts
fish and products thereof,chicken based products
listeria monocytogenes,thermal processed beef meat
cereals containing gluten and products thereof,sandwiches
improper conditions,thermal processed beef meat
other,pasta products
plastic fragment,pasta products
plastic fragment,frozen fish fillets
peanuts and products thereof,peanuts
escherichia coli,beef products
listeria monocytogenes,mozzarella cheese
listeria monocytogenes,cheese
insufficient labelling/documentation,thermal processed beef meat
peanuts and products thereof,dried beef meat
inspection issues,pig meat - pork
soybeans and products thereof,chicken based products
peanuts and products thereof,cakes
peanuts and products thereof,chocolate products
fish and products thereof,desserts
sulphur dioxide and sulphites,mango
sulphur dioxide and sulphites,cheddar cheese
listeria monocytogenes,thermal processed beef meat
eggs and products thereof,ice cream
salmonella,garlic powder
listeria monocytogenes,precooked cooked beef meat products
soybeans and products thereof,dried beef meat
unauthorised colour sudan 4,palm oil
milk and products thereof,pasta
listeria monocytogenes,salmon
listeria monocytogenes,ice cream
plastic fragment,soup
cereals containing gluten and products thereof,hemp protein powder
salmonella,pork carcass(es)
escherichia coli,cheese
milk and products thereof,coconuts
undeclared constituent,turkey and turkey preparations
milk and products thereof,salad dressing
moulds,ready to eat - cook meals
milk and products thereof,coconuts
pieces of wood,chicken based products
pathogenic bacteria,sauces
incorrect use by dates,salmon
plastic fragment,cheddar cheese
coliforms,milk
plastic fragment,ready to eat - cook meals
plastic fragment,potato chips
inspection issues,beef
peanuts and products thereof,cream chocolate pie
milk and products thereof,sauces
salmonella,dark chocolates
escherichia coli,nuts and nuts products
salmonella,granola
salmonella,dried coconut
listeria monocytogenes,ready to eat - cook meals
cashew,almonds
fish and products thereof,ready to eat - cook meals
sulphur dioxide and sulphites,sauces
milk and products thereof,sauces
listeria monocytogenes,ready to eat - cook meals
labelling/misdescription,nuts mix
milk and products thereof,cakes
soybeans and products thereof,sauces
foreign bodies,frozen poultry products
milk and products thereof,cookies
milk and products thereof,chicken breast
milk and products thereof,milk proteins
listeria monocytogenes,sunflower seed
listeria monocytogenes,peanuts
listeria monocytogenes,sunflower seed
salmonella,alfalfa sprouts
listeria monocytogenes,fruit mix
milk and products thereof,cookies
listeria monocytogenes,sunflower seed
listeria monocytogenes,peppers
salmonella,macadamia nuts
soybeans and products thereof,pudding
listeria monocytogenes,chicken based products
escherichia coli,frozen raw ground beef
eggs and products thereof,sauces
unauthorised import,frozen fish fillets
milk and products thereof,chocolate bars
listeria monocytogenes,thermal processed beef meat
eggs and products thereof,protein drink
eggs and products thereof,lasagne
plastic fragment,prepared dishes and snacks
metal fragment,ground beef
eggs and products thereof,prepared dishes and snacks
salmonella,macadamia nuts
glass fragment,cereal bars
salmonella,sesame
milk and products thereof,biscuits
listeria monocytogenes,salmon
plastic fragment,chicken based products
plastic fragment,soup
plastic fragment,chicken based products
peanuts and products thereof,cereal bars
listeria monocytogenes,sandwich spread
plastic fragment,sprouts
milk and products thereof,cookies
milk and products thereof,sauce
salmonella,peppers
salmonella,potato chips
spoilage,sauces
salmonella,peppers
milk and products thereof,caramel bites
milk and products thereof,soup
other,almonds
peanuts and products thereof,salads
listeria monocytogenes,cheese
escherichia coli,cheese
metal fragment,sauces
listeria monocytogenes,soft cheese
fish and products thereof,frozen sausages
listeria monocytogenes,salads
listeria monocytogenes,chicken based products
metal fragment,ground beef
incorrect use by dates,soup
eggs and products thereof,turkey and turkey preparations
milk and products thereof,sauces
listeria monocytogenes,ice cream
escherichia coli,veal
plastic fragment,ground beef
listeria monocytogenes,chicken based products
salmonella,pistachio nuts
escherichia coli,frozen raw ground beef
escherichia coli,beef trimmings
listeria monocytogenes,chicken preparations
escherichia coli,flour
cereals containing gluten and products thereof,prepared dishes and snacks
plastic fragment,minced pork
soybeans and products thereof,cakes
cereals containing gluten and products thereof,herring
cereals containing gluten and products thereof,curry
foreign bodies,other not classified meat products
abnormal smell,yoghurt
norovirus,cakes
inspection issues,pig meat - pork
peanuts and products thereof,sauce
soybeans and products thereof,smoked sausage
salmonella,sauces
peanuts and products thereof,peanuts
milk and products thereof,pasta
milk and products thereof,sauces
milk and products thereof,lasagne
abnormal smell,sesame
moulds,soup
cereals containing gluten and products thereof,hot dog sausages
fish and products thereof,chicken based products
milk and products thereof,dark chocolates
escherichia coli,ready to eat - cook meals
clostridium botulinum,salmon
milk and products thereof,cakes
allergens,pasta products
undeclared constituent,pork sausage
fish and products thereof,chicken based products
plastic fragment,turkey and turkey preparations
milk and products thereof,coconut juice
spoilage,iced tea
sesame seeds and products thereof,halva
undeclared constituent,chicken based products
cereals containing gluten and products thereof,potato salad
salmonella,fresh lychees
soybeans and products thereof,prepared dishes
listeria monocytogenes,turnips
plastic fragment,corn
milk and products thereof,mango
plastic fragment,dressing
abnormal smell,chocolate products
salmonella,pistachio nuts
allergens,fruit juice
salmonella,ready to eat - cook meals
peanuts and products thereof,pasta products
salmonella,chilli powder
almond,ice cream
plastic fragment,snacks (various)
escherichia coli,pork meat
listeria monocytogenes,chicken based products
