hazard,product
listeria monocytogenes,sausage
listeria monocytogenes,ground beef
salmonella,chicken based products
sesame seeds and products thereof,sunflower seed
escherichia coli,ground beef
glass fragment,bread
milk and products thereof,other dairy products
glass fragment,wine
escherichia coli,cheese
listeria monocytogenes,salmon
metal fragment,beef
other,beer
cereals containing gluten and products thereof,tuna
chemical,soy sauce
milk and products thereof,bread
polycyclic aromatic hydrocarbons,olive oil
milk and products thereof,prepared dishes
salmonella,cheese
glass fragment,pudding
other,bottled mineral water
escherichia coli,cheese
metal fragment,cheese
other not classified,noodles
milk and products thereof,pancakes
metal fragment,sauces
glass fragment,ready to eat - cook meals
sesame seeds and products thereof,biscuits
listeria monocytogenes,ready to eat - cook meals
milk and products thereof,thermal processed pork meat
labelling/misdescription,muesli
salmonella,ice cream
listeria monocytogenes,chicken
cereals containing gluten and products thereof,breakfast cereals
chlorine,bottled water
undeclared additive,other types of meat
undeclared additive,other types of meat
glass fragment,pasta
metal fragment,minced pork
toxin,salads
plastic fragment,sausage
other,corn
bacillus spp.,goat cheese
other not classified biological hazards,shrimps
undeclared additive,prepared dishes
milk and products thereof,golden raisins/sultanas
plastic fragment,other not classified meat products
plastic fragment,other dairy products
spoilage,milk and milk products
salmonella,ice cream
metal fragment,dried fruits
metal fragment,dates
salmonella,pistachio nuts
milk and products thereof,dumplings
other,cakes
rubber fragments,potato chips
cereals containing gluten and products thereof,oyster sauce
peanuts and products thereof,biscuits
soybeans and products thereof,cheese
cereals containing gluten and products thereof,crackers
soybeans and products thereof,bakery products
milk and products thereof,biscuits
listeria monocytogenes,ready to eat - cook meals
escherichia coli,blue cheese
salmonella,ice cream
salmonella,peanuts
salmonella,ice cream
salmonella,ice cream
salmonella,peanuts
salmonella,sandwiches
milk and products thereof,soup
labelling/misdescription,sesame
other,veal
salmonella,ice cream
escherichia coli,beef products
salmonella,eggs
salmonella,alfalfa sprouts
soybeans and products thereof,cookies
salmonella,eggs
salmonella,peanuts
other not classified,jellies
plastic fragment,breakfast cereals
salmonella,salads
milk and products thereof,brownies
milk and products thereof,food supplement
listeria monocytogenes,frozen ready to eat products
