hazard,product
listeria monocytogenes,"meat, egg and dairy products"
listeria monocytogenes,smoked sausage
listeria monocytogenes,sausage
peanuts and products thereof,sunflower seed
escherichia coli,ground beef
foreign bodies,bread
salmonella,desserts
other not classified,nuts
salmonella,spread
listeria monocytogenes,salmon
plastic fragment,muffins
glass fragment,jam
other,tofu
microbiological contamination,soy sauce
cereals containing gluten and products thereof,bread and products therefor
norovirus,olive oil
eggs and products thereof,prepared dishes
clostridium botulinum,cheese
glass fragment,sunflower seed
bulging packaging,beverage
escherichia coli,feta cheese
metal fragment,snack mix
other not classified,bottled water
metal fragment,mint chocolate
metal fragment,sauces
metal fragment,baby food
peanuts and products thereof,algae
listeria monocytogenes,prepared dishes and snacks
cereals containing gluten and products thereof,lasagne
peanuts and products thereof,muesli
peanuts and products thereof,ice cream
listeria monocytogenes,poultry meat and poultry meat products
sulphur dioxide and sulphites,algae
norovirus,dried coconut
other,other types of meat
other,other types of meat
glass fragment,pasta
plastic fragment,frozen beef patties
heavy metals,waffles
metal fragment,sausage
other not classified chemical hazards,nuts
other not classified,carbonated/sparkling water
peanuts and products thereof,cheese products
fish and products thereof,frozen beef patties
salmonella,mashed chickpeas (hummus)
processing,paella
plastic fragment,spread
incorrect use by dates,nut and raisin mix
escherichia coli,ice cream
labelling/misdescription,rice noodles
microbiological contamination,protein drink
peanuts and products thereof,biscuits
eggs and products thereof,frozen fish burgers
metal fragment,cakes
plastic fragment,potato chips
glass fragment,bolognese sauce
sesame seeds and products thereof,cookies
salmonella,vegetable based products
cereals containing gluten and products thereof,sunflower seed
eggs and products thereof,brownies
salmonella,biscuits
plastic fragment,sausage
other,bean snack
salmonella,ice cream
salmonella,biscuits
peanuts and products thereof,cakes
salmonella,cakes
salmonella,peanuts
escherichia coli,frozen chicken
metal fragment,sauces
peanuts and products thereof,sesame
other,pop corn
peanuts and products thereof,ice cream
escherichia coli,beef
salmonella,instant coffee
salmonella,alfalfa sprouts
almond,biscuits
salmonella,algae
salmonella,basil
sulphur dioxide,jellies
foreign bodies,corn
salmonella,pasta salad
milk and products thereof,nut bars
salmonella,snacks (various)
listeria monocytogenes,prepared salads
plastic fragment,boneless beef
fish and products thereof,sunflower seed
eggs and products thereof,brownies
escherichia coli,frozen beef patties
listeria monocytogenes,pizza
salmonella,various fish products
incorrect labeling,wine
soybeans and products thereof,chorizo sausage
incorrect use by dates,pasteurized cow milk cheese
soybeans and products thereof,sausage
glass fragment,crackers
foreign bodies,ice cream
salmonella,thermal processed beef meat
salmonella,frozen fish burgers
milk and products thereof,turkey and turkey preparations
salmonella,ice cream
listeria monocytogenes,baby food
listeria monocytogenes,ham
salmonella,hot dog sausages
incorrect labeling,dry sausage
milk and products thereof,sesame paste
metal fragment,pastry
spoilage,cider
sulphur dioxide and sulphites,dried apricots
eggs and products thereof,chicken based products
salmonella,bread
other,snack mix
milk and products thereof,frozen chicken strips with tendons
eggs and products thereof,Not classified pork meat
salmonella,dried mushrooms
milk and products thereof,cookies
peanuts and products thereof,snack mix
salmonella,pistachio nuts
salmonella,pistachio nuts
listeria monocytogenes,cheese
salmonella,biscuits
salmonella,peanuts
salmonella,biscuits
salmonella,biscuits
salmonella,candies
soybeans and products thereof,biscuits
eggs and products thereof,frozen pork preparations
salmonella,fish roe
inspection issues,frozen dumplings with pork
peanuts and products thereof,ice cream
bone fragment,ground turmeric
salmonella,chicken
heavy metals,sausage
milk and products thereof,sausage
peanuts and products thereof,chia seeds
peanuts and products thereof,quinoa
other,honey
listeria monocytogenes,rice crackers
hazelnut,chicken breast
